Unnamed: 0,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc
406,Feet-elevated bench side plank,"Zakładana na stóp deska boczna to zaawansowana wersja bocznej deski wykonanej z stopami podwyższonymi na ławce.Kieruje się na te same mięśnie, co deska boczna, w tym skośne, ramiona i biodra boczne, ale kąt ciała sprawia, że ​​jest to trudniejsze niż boczne deski na podłodze.Większość podnośników będzie musiała przejść do tej wersji po opanowaniu podstawowej deski bocznej.",Strength Training,Abdominals,Body Only,Intermediate,,
407,Cross-body sit-up,"Syt-U-U-Upt-Up to ćwiczenie masy ciała ukierunkowane na mięśnie AB, skośne i odbytnicze brzuszne, a zwłaszcza mięśnie „sześciopakowe”.Polega na połączeniu kolana i łokcia w przeciwnej strony, zwykle na przemian z każdym powtórzeniem.Można go wykonywać dla czasu lub powtórzeń w ramach zorientowanej na A części każdego treningu.",Strength Training,Abdominals,Body Only,Intermediate,,
408,Decline kayak,"Spadek kajak jest podstawowym ćwiczeniem ukierunkowanym na skośne.Polega na wykonaniu ruchu wiosłowania na ławce z zakotwiczonymi stopami, używając pręta lub rury do ciężaru.Zazwyczaj wykonuje się to dla umiarkowanych do wysokich powtórzeń, co najmniej 8-12 powtórzeń na stronę, w ramach skoncentrowanej na A AB treningu lub obwodu.",Strength Training,Abdominals,Body Only,Intermediate,,
409,30 Decline Reverse Crunch,Odwrotne kryzys jest podstawowym ćwiczeniem ukierunkowanym na niższe brzuch.,Strength Training,Abdominals,Body Only,Intermediate,,
410,Decline sit-up twist,"Zakręcenie upadku jest ćwiczeniem rdzeniowym masy ciała, które są ukierunkowane na skośne, a także mięśnie brzuszne odbytnicy lub „sześciopakowe”.Wariacji sit-up są zwykle wykonywane dla umiarkowanych do wysokich powtórzeń, takich jak 10-15 powtórzeń na zestaw lub więcej, w ramach części treningu skoncentrowanego na rdzeniu.",Strength Training,Abdominals,Body Only,Intermediate,,
411,30 Flat Bench Leg Raise,"Leżąca podnośnik nogi jest popularnym ćwiczeniem masy ciała skierowanymi do mięśni brzucha, odbytnicy brzusznej, a zwłaszcza mięśni „sześciopakowych”.Można go wykonywać dla czasu lub powtórzeń w rdzeniowej części każdego treningu.",Strength Training,Abdominals,Body Only,Intermediate,,
412,30 Flutter Kick,"Kopnięcie trzepotania jest podstawowym ćwiczeniem, w którym nogi są przytrzymywane z ziemi, gdy trzepasz stopy nad i pod sobą w małych ruchach.Kieruje się na wiele mięśni rdzenia, ale zwłaszcza mięśnie brzuszne odbytnicy lub „sześciopakowe”.Można go wykonywać dla czasu lub powtórzeń w skoncentrowanej przez A części każdego treningu.",Strength Training,Abdominals,Body Only,Intermediate,,
413,Chin-up crunch,"Chrupnięcie podbródka jest ćwiczeniem ukierunkowanym na rdzeń i ogólną siłę górnego ciała.Łączy podbródek z podnoszeniem kolan lub chrupnięciem, aby nadać dodatkowy nacisk na rdzeń.",Strength Training,Abdominals,Body Only,Intermediate,,
414,30 Gorilla Chin Oblique Crunch,,Strength Training,Abdominals,Body Only,Intermediate,,
415,Half Turkish get-up,"Pół tureckiego wstania to ruch kettlebell, który koncentruje się na pierwszej części tureckich ćwiczeń.Często uczy się go jako prekursora pełnego tureckiego wstawania, ale jest również cennym ćwiczeniem brzucha i ramion.Można go wykonać dla powtórzeń lub czasu, albo w niższych zakresach powtórzeń w zakresie wytrzymałości lub wyższych zakresów powtórzeń w zakresie praktyki techniki lub kondycjonowania.",Strength Training,Abdominals,Body Only,Intermediate,,
416,30 Hanging Oblique Crunch,"Wiszący ukośny chrupnięcie, ćwiczenie brzucha, które są skierowane zarówno do mięśni odbytnicy, jak i mięśni „sześciopakowych”, jak i skośnych mięśni.Można go wykonywać zwisające z paska lub jeśli siła chwytu jest ograniczeniem, umieszczając łokcie w paskach AB.Jeśli zwisanie z prostego baru jest niewygodne na nadgarstki lub ramię, możesz je również wykonać z neutralnym uchwytem (dłonie skierowane do siebie)",Strength Training,Abdominals,Body Only,Intermediate,,
417,30 Hollow-Body Hold,"Holl-Body Hold to ćwiczenie izometryczne, które zwiększa siłę i stabilność w mięśniach rdzenia.Jest to powszechne w treningu gimnastycznym, treningu CrossFit oraz jako podstawowe napięcie i usztywnienie ćwiczeń dla podnośników i sportowców wszystkich typów.Jest wykonywany przez czas i może być wykonywany jako wiertło aktywacyjne przed podnoszeniem, jako część obwodu lub jako szkolenie podstawowe bez sprzętu w dowolnym momencie.",Strength Training,Abdominals,Body Only,Intermediate,,
418,Parallel bars knee raise,"Równoległe podnoszenie kolan jest ćwiczeniem masy ciała, które są ukierunkowane na ABS.Jest wykonywany na równoległych słupkach, zaczynając od górnej pozycji zanurzenia.Podwyżki kolana są często wykonywane dla umiarkowanych do wysokich powtórzeń, takich jak 8-12 powtórzeń lub więcej, w ramach treningu skoncentrowanego na AB.",Strength Training,Abdominals,Body Only,Intermediate,,
419,30 Landmine Twist,"Twist Minmine to rotacyjny ruch brzucha wykonany przy użyciu kątowej sztangi zakotwiczonej na poziomie podłogi w urządzeniu lądowym.Można go również wykonać, wkładając sztangę w rogu pokoju, najlepiej w ręczniku, aby chronić ściany.Kieruje się na głębokie mięśnie rdzenia, w tym zarówno skośne, jak i przejściowe brzuch.Można to zrobić szybko lub powoli, dla czasu lub powtórzeń, w tradycyjnych zakresach powtórzeń skoncentrowanych na mięśniach, takich jak 8-12 powtórzeń na stronę.",Strength Training,Abdominals,Body Only,Intermediate,,
420,Parallel bars leg raise,"Równoległe podnoszenie prętów to ćwiczenie masy ciała, które są ukierunkowane na ABS.Jest wykonywany na równoległych słupkach, zaczynając od górnej pozycji zanurzenia.Podwyżki nóg są często wykonywane dla umiarkowanych do wysokich powtórzeń, takich jak 8-12 powtórzeń lub więcej, w ramach treningu skoncentrowanego na AB.Jednak ta trudna odmiana może wymagać trochę czasu na zbudowanie tych zakresów powtórzeń.",Strength Training,Abdominals,Body Only,Intermediate,,
421,Otis-up-,"Otis-Up jest ważonym ćwiczeniem koncentrującym się na mięśniach brzucha i ramionach w mniejszym stopniu.Kieruje się przede wszystkim mięśni brzucha odbytnicy lub „sześciopak”, ale obejmuje także skośne i głębokie mięśnie rdzenia.Zwykle wykonuje się go na ławce o spadku, trzymając płytkę wagową, ale można go również wykonać za pomocą hantli, kettlebell lub innej wagi.",Strength Training,Abdominals,Body Only,Intermediate,,
422,30 Shoulder Tap,"Tap ramion jest ćwiczeniem skierowanym do brzucha i rdzenia.Podstawowa postawa pasuje do góry pozycji push-up.Stamtąd jedna ręka jest podniesiona, aby stuknąć przeciwne ramię.Stuknięcie z każdą ręką do każdego przeciwnego ramienia równa się jednemu powtórzeniu.",Strength Training,Abdominals,Body Only,Intermediate,,
423,30 Spider Crawl,"Fajnik pająka to ćwiczenie masy ciała, które obejmuje czołganie się na podłodze z kolanami poza łokciami.Różni się od pełzania lamparta, ponieważ biodra są wyższe i różni się od pełzającego niedźwiedzie, ponieważ kolana są szersze.Można to zrobić jako rozgrzewkę całego ciała, w krótkich seriach treningu mocy lub obwodu lub dłuższego czasu trwania jako kondycjonowanie sercowo-naczyniowe.",Strength Training,Abdominals,Body Only,Intermediate,,
424,Spider crunch,"Spider Crunch to podstawowe ćwiczenie, które rozpoczyna się w pozycji deski prostej i obejmuje podniesienie jednego kolana w kierunku łokcia tego samego po stronie, aby ukierunkować się na ukośne.Jest podobny do wspinacza górskiego, ale z szerszymi kolanami.Można go wykonywać dla czasu lub powtórzeń jako trening lub kondycjonowanie AB.",Strength Training,Abdominals,Body Only,Intermediate,,
425,Toe-touch,"Utwór palca to ruch masy ciała, który atakuje mięśnie brzucha, odbytnicy brzusznej, a zwłaszcza mięśni „sześciopakowych”.Można go wykonywać dla czasu lub powtórzeń w skoncentrowanej przez A części każdego treningu.",Strength Training,Abdominals,Body Only,Intermediate,,
426,30 Hanging Toes-To-Bar,"Wiszące palce u stóp do baru to zaawansowane ćwiczenie brzucha, w którym podnośnik dotyka ich stóp do podciągnięcia.Istnieje wiele sposobów wykonania tego ruchu: ścisłe lub huśtające się, ramiona całkowicie proste lub lekko wygięte, nogi proste lub wygięte, każdy zapewnia unikalne korzyści i wyzwania.Początkowo może to być trudny ruch dla jednego przedstawiciela, ale po zbudowaniu wymaganego rdzenia, lat i siły barku można go wykonać dla wyższych powtórzeń.",Strength Training,Abdominals,Body Only,Intermediate,,
427,30 V-Up,"V-UP jest ruchem masy ciała, który atakuje mięśnie brzucha, odbytnicy brzusznej, a zwłaszcza mięśni „sześciopakowych”.Jest podobny do kryzysu walizki, ale dolna część tylna unosi się z ziemi u góry każdego powtórzenia.Można go wykonywać dla czasu lub powtórzeń w skoncentrowanej przez A części każdego treningu.",Strength Training,Abdominals,Body Only,Intermediate,,
428,Cocoon crunch,"Krzyżowca jest ćwiczeniem masy ciała skierowaną do mięśni AB, odbytnicy brzusznej, a zwłaszcza mięśni „sześciopakowych”.Polega na przyniesieniu kolan do klatki piersiowej i ramion od gór do środka.Można go wykonywać dla czasu lub powtórzeń w ramach zorientowanej na A części każdego treningu.",Strength Training,Abdominals,Body Only,Intermediate,,
429,Bench oblique crunch,"Bench Dyque Crunch to ćwiczenie, które są ukośne, mięśnie biegną wzdłuż brzucha odbytnicy.Zakres ruchu jest dość mały, ale nadal świetnie wykonuje te trudne do izolowania mięśnie.Podobnie jak większość wariantów chrupiących, jest to zwykle wykonywane dla umiarkowanych do wysokich powtórzeń, takich jak 8-12 powtórzeń na zestaw lub więcej.",Strength Training,Abdominals,Body Only,Intermediate,,
430,Full moon-,"Księżyc w pełni jest ćwiczeniem masy ciała ukierunkowane na mięśnie brzucha.Jest podobny do V-UP, ale z dodatkowym wyzwaniem „rysowania” kształtu koła w powietrzu podczas każdego powtórzenia.Można go wykonywać dla czasu lub powtórzeń w rdzeniowej części każdego treningu.",Strength Training,Abdominals,Body Only,Intermediate,,
431,Push-up to side plank,"Push-up do deski bocznej jest ćwiczenie zorientowane na górną i rdzeń łączące dwa popularne ruchy masy ciała.Kieruje się na klatkę piersiową, triceps i ramiona z pompką oraz ukośne i zewnętrzne mięśnie rotatora biodrowego z boczną deską.Można go wykonywać jako część dynamicznego rozgrzewki lub dowolnego treningu siły w wadze ciała.",Strength Training,Abdominals,Body Only,Intermediate,,
432,Tyler Holt V-Up,,Strength Training,Abdominals,Body Only,Intermediate,,
433,Tyler Holt Plank,,Strength Training,Abdominals,Body Only,Intermediate,,
434,Tyler Holt Hip-Dip,,Strength Training,Abdominals,Body Only,Intermediate,,
435,Suicides,,Strength Training,Abdominals,Body Only,Intermediate,,
436,Holman Towel Straight Plank Jack,,Strength Training,Abdominals,Body Only,Intermediate,,
437,Holman Towel Hill Climber,,Strength Training,Abdominals,Body Only,Intermediate,,
438,Holman Towel Elbow Plank Jack,,Strength Training,Abdominals,Body Only,Intermediate,,
439,Holman Towel Elbow Plank Pike,,Strength Training,Abdominals,Body Only,Intermediate,,
440,Holman Towel Straight Plank Hand Reach,,Strength Training,Abdominals,Body Only,Intermediate,,
441,Holman Towel Wax-On Wax-Off,,Strength Training,Abdominals,Body Only,Intermediate,,
442,Holman Towel Wide Hill Climber,,Strength Training,Abdominals,Body Only,Intermediate,,
443,Holman Towel Dirty Dog,,Strength Training,Abdominals,Body Only,Intermediate,,
444,Holman Straight Plank Shoulder Tap,,Strength Training,Abdominals,Body Only,Intermediate,,
445,Holman Killer Abs,,Strength Training,Abdominals,Body Only,Intermediate,,
446,Holman Straight Plank Split Jack,,Strength Training,Abdominals,Body Only,Intermediate,,
447,Holman Elbow Plank Swim,,Strength Training,Abdominals,Body Only,Intermediate,,
448,Holman Elbow Plank Saw,,Strength Training,Abdominals,Body Only,Intermediate,,
449,Holman Feet-Elevated Straight Plank Toe-Tap Series,,Strength Training,Abdominals,Body Only,Intermediate,,
450,Holman Elbow Plank Pike Pull,,Strength Training,Abdominals,Body Only,Intermediate,,
451,Holman Hand-Elevated Walk-Over Push-Up,,Strength Training,Abdominals,Body Only,Intermediate,,
452,Holman Hands-Elevated Hill Climber,,Strength Training,Abdominals,Body Only,Intermediate,,
453,Holman Seated Pike,,Strength Training,Abdominals,Body Only,Intermediate,,
454,Holman Feet-Elevated Up-Down Plank,,Strength Training,Abdominals,Body Only,Intermediate,,
455,Holman Feet-Elevated Hand Tap,,Strength Training,Abdominals,Body Only,Intermediate,,
456,Holman Reverse Straight Plank with Alternating Heel Pull-In,,Strength Training,Abdominals,Body Only,Intermediate,,
457,Holman Elbow Plank,,Strength Training,Abdominals,Body Only,Intermediate,,
458,Holman Straight Plank Squat Thrust,,Strength Training,Abdominals,Body Only,Intermediate,,
459,Holman Alternating Single-Leg Pike,,Strength Training,Abdominals,Body Only,Intermediate,,
460,Holman Knee Pull-In Crunch,,Strength Training,Abdominals,Body Only,Intermediate,,
461,Holman Straight Plank with Hand Tap,,Strength Training,Abdominals,Body Only,Intermediate,,
462,Holman Straight Plank with Dirty Dog,,Strength Training,Abdominals,Body Only,Intermediate,,
463,Holman Elbow Plank Roll,,Strength Training,Abdominals,Body Only,Intermediate,,
464,Holman Froggy Push-Up,,Strength Training,Abdominals,Body Only,Intermediate,,
465,Holman Straight Plank Hand Tap to Shoulder Tap,,Strength Training,Abdominals,Body Only,Intermediate,,
466,Holman In-Out Straight Plank,,Strength Training,Abdominals,Body Only,Intermediate,,
467,Holman Bicycle,,Strength Training,Abdominals,Body Only,Intermediate,,
468,Holman Alternating Diagonal Knee Pull-in,,Strength Training,Abdominals,Body Only,Intermediate,,
469,Holman Elbow Plank with Step-Out,,Strength Training,Abdominals,Body Only,Intermediate,,
470,Holman Alternating Slow L-Raise,,Strength Training,Abdominals,Body Only,Intermediate,,
471,Holman Feet-Elevated Plank with Shoulder Tap,,Strength Training,Abdominals,Body Only,Intermediate,,
472,Holman Feet-Elevated Inchworm Pike to Straight Plank Push-Up,,Strength Training,Abdominals,Body Only,Intermediate,,
473,Holman Feet-Elevated Up-Down Elbow Plank,,Strength Training,Abdominals,Body Only,Intermediate,,
474,Holman Feet-Elevated Plank Pike Pull,,Strength Training,Abdominals,Body Only,Intermediate,,
475,Holman Feet-Elevated Alternating Single-Leg Hip Raise,,Strength Training,Abdominals,Body Only,Intermediate,,
476,Holman Feet-Elevated Plank Pike Pull to Push-Up,,Strength Training,Abdominals,Body Only,Intermediate,,
477,Holman Standing Heel Click,,Strength Training,Abdominals,Body Only,Intermediate,,
478,Holman Straight Plank Right-Left Jack to Split Jack,,Strength Training,Abdominals,Body Only,Intermediate,,
479,Holman Elbow Plank Jack to Ninja Knees,,Strength Training,Abdominals,Body Only,Intermediate,,
480,Holman Right Side Elbow Plank with Left Leg Swing,,Strength Training,Abdominals,Body Only,Intermediate,,
481,Holman Left Side Elbow Plank with Right Leg Swing,,Strength Training,Abdominals,Body Only,Intermediate,,
482,Holman Straight Plank with Alternating Diagonal Sit-Back,,Strength Training,Abdominals,Body Only,Intermediate,,
483,Holman Boat Press with Leg Extension,,Strength Training,Abdominals,Body Only,Intermediate,,
484,Holman Shoulder Tap to Dirty Dog,,Strength Training,Abdominals,Body Only,Intermediate,,
485,Holman Standing Russian Twist,,Strength Training,Abdominals,Body Only,Intermediate,,
486,Holman Hovering Plank with Shoulder Tap,,Strength Training,Abdominals,Body Only,Intermediate,,
487,Holman Elbow Plank to Stacked Plank Hip Drop,,Strength Training,Abdominals,Body Only,Intermediate,,
488,Holman Elbow Plank to Walk-Up Pike,,Strength Training,Abdominals,Body Only,Intermediate,,
489,Holman Hill Climber,,Strength Training,Abdominals,Body Only,Intermediate,,
490,Holman Straight Plank Pike to Renegade Row,,Strength Training,Abdominals,Body Only,Intermediate,,
491,Holman Alternating Hip Drop to Push-Up,,Strength Training,Abdominals,Body Only,Intermediate,,
492,Holman Crab Kick,,Strength Training,Abdominals,Body Only,Intermediate,,
493,Holman Wounded Bear Crawl,,Strength Training,Abdominals,Body Only,Intermediate,,
494,Holman Alternating Crab Reach,,Strength Training,Abdominals,Body Only,Intermediate,,
495,Holman Hovering Panther Core Stabilizer,,Strength Training,Abdominals,Body Only,Intermediate,,
496,Holman Burpee to Forward Lunge,,Strength Training,Abdominals,Body Only,Intermediate,,
497,Holman Seated Knee Pull-In Series,,Strength Training,Abdominals,Body Only,Intermediate,,
498,Holman Elbow Plank Pike,,Strength Training,Abdominals,Body Only,Intermediate,,
499,Holman Elbow Plank Jack to Straight Plank Split Jack,,Strength Training,Abdominals,Body Only,Intermediate,,
500,Holman Boat Pull-Over,,Strength Training,Abdominals,Body Only,Intermediate,,
501,Holman Squat Pulse to Plyometric Jump,,Strength Training,Abdominals,Body Only,Intermediate,,
502,Holman Hands Down Heel Click,,Strength Training,Abdominals,Body Only,Intermediate,,
503,Holman Straight Plank to Kick-Up,,Strength Training,Abdominals,Body Only,Intermediate,,
504,Holman Hands-Elevated Split Jack,,Strength Training,Abdominals,Body Only,Intermediate,,
505,Holman Feet-Elevated Plank Reach,,Strength Training,Abdominals,Body Only,Intermediate,,
506,Holman Hand-Elevated Side Plank Semicircle,,Strength Training,Abdominals,Body Only,Intermediate,,
507,Holman Hands-Elevated Straight Plank Pike,,Strength Training,Abdominals,Body Only,Intermediate,,
508,Holman Alternating Rolling Elbow Plank,,Strength Training,Abdominals,Body Only,Intermediate,,
509,Holman Elbow Plank Jack,,Strength Training,Abdominals,Body Only,Intermediate,,
510,Holman Squat Thrust to Alternating Knee-In,,Strength Training,Abdominals,Body Only,Intermediate,,
511,Holman Supine Double Pike,,Strength Training,Abdominals,Body Only,Intermediate,,
512,Holman Elbow Plank Alternating Pike,,Strength Training,Abdominals,Body Only,Intermediate,,
513,Holman Seated Killer Abs,,Strength Training,Abdominals,Body Only,Intermediate,,
514,Holman Side Plank Hip Drop,,Strength Training,Abdominals,Body Only,Intermediate,,
515,Holman Wide Hill Climber,,Strength Training,Abdominals,Body Only,Intermediate,,
516,Holman Straight-Legged Bicycle,,Strength Training,Abdominals,Body Only,Intermediate,,
517,Holman Stair Toe Tap,,Strength Training,Abdominals,Body Only,Intermediate,,
518,Holman Elbow Plank Ninja,,Strength Training,Abdominals,Body Only,Intermediate,,
519,Holman Traveling Stair Climb Push-Up,,Strength Training,Abdominals,Body Only,Intermediate,,
520,Holman Hands-Elevated Burpee,,Strength Training,Abdominals,Body Only,Intermediate,,
521,Holman Straight Plank Donkey Kick,,Strength Training,Abdominals,Body Only,Intermediate,,
522,Holman Feet-Elevated Straight Plank Pike Pull,,Strength Training,Abdominals,Body Only,Intermediate,,
523,Holman Towel Burpee,,Strength Training,Abdominals,Body Only,Intermediate,,
524,Holman Elbow Plank to Alternating Side Plank Crunch,,Strength Training,Abdominals,Body Only,Intermediate,,
525,Holman Straight-Legged Hip Raise,,Strength Training,Abdominals,Body Only,Intermediate,,
526,Holman Feet-Elevated Hill Climber,,Strength Training,Abdominals,Body Only,Intermediate,,
527,Holman Ninja Knee Hill Climber,,Strength Training,Abdominals,Body Only,Intermediate,,
528,Holman Feet-Elevated Shoulder Tap,,Strength Training,Abdominals,Body Only,Intermediate,,
529,Holman Feet-Elevated Hip Raise,,Strength Training,Abdominals,Body Only,Intermediate,,
530,Holman Left Hand Right Foot Crab Reach,,Strength Training,Abdominals,Body Only,Intermediate,,
531,Holman Alternating Crab Flip to Froggy Push-Up to Kicks,,Strength Training,Abdominals,Body Only,Intermediate,,
532,Holman Right Hand Left Foot Sleeping Crab,,Strength Training,Abdominals,Body Only,Intermediate,,
533,Holman Left Hand Right Foot Sleeping Crab,,Strength Training,Abdominals,Body Only,Intermediate,,
534,Holman Straight Plank with Alternating Leg Kick-Under,,Strength Training,Abdominals,Body Only,Intermediate,,
535,Holman Right Hip Drop Push-Up,,Strength Training,Abdominals,Body Only,Intermediate,,
536,Holman Right Side Diagonal Burpee,,Strength Training,Abdominals,Body Only,Intermediate,,
537,Holman Left Hip Drop Push-Up,,Strength Training,Abdominals,Body Only,Intermediate,,
538,Holman Right Leg 7-Up Crunch,,Strength Training,Abdominals,Body Only,Intermediate,,
539,Holman Left Leg 7-Up Crunch,,Strength Training,Abdominals,Body Only,Intermediate,,
540,Holman Straight Plank Jack,,Strength Training,Abdominals,Body Only,Intermediate,,
541,Holman Feet-Elevated Couch Hill Climber,,Strength Training,Abdominals,Body Only,Intermediate,,
542,Holman Feet-Elevated Right Side Plank,,Strength Training,Abdominals,Body Only,Intermediate,,
543,Holman Alternating Up-Down Plank to Push-Up,,Strength Training,Abdominals,Body Only,Intermediate,,
544,Holman Straight Plank Pike,,Strength Training,Abdominals,Body Only,Intermediate,,
545,Holman Ninja Knee Straight Plank,,Strength Training,Abdominals,Body Only,Intermediate,,
546,Holman Reverse Crunch to Hip Raise,,Strength Training,Abdominals,Body Only,Intermediate,,
547,Holman Straight Plank Quick Reach,,Strength Training,Abdominals,Body Only,Intermediate,,
548,Holman Alternating Diagonal Straight Plank,,Strength Training,Abdominals,Body Only,Intermediate,,
549,Holman Feet-Elevated Left Side Plank,,Strength Training,Abdominals,Body Only,Intermediate,,
550,Holman Right Hand Left Foot Crab Reach,,Strength Training,Abdominals,Body Only,Intermediate,,
551,Holman Low-Impact Crab Kick,,Strength Training,Abdominals,Body Only,Intermediate,,
552,Holman Alternating Crab Flip to Froggy Push-Up,,Strength Training,Abdominals,Body Only,Intermediate,,
553,Holman High-Impact Crab Kick,,Strength Training,Abdominals,Body Only,Intermediate,,
554,Holman Single-Leg Right Pike,,Strength Training,Abdominals,Body Only,Intermediate,,
555,Holman Single-Leg Left Pike,,Strength Training,Abdominals,Body Only,Intermediate,,
556,Holman Shoulder Tap to Hand Tap,,Strength Training,Abdominals,Body Only,Intermediate,,
557,Holman Towel Reverse Plank Jack,,Strength Training,Abdominals,Body Only,Intermediate,,
558,Holman Side-to-Side Twist,,Strength Training,Abdominals,Body Only,Intermediate,,
559,Holman Crab Kick with Hop,,Strength Training,Abdominals,Body Only,Intermediate,,
560,Holman Crab Reach to Crab Kick,,Strength Training,Abdominals,Body Only,Intermediate,,
561,Holman Wide Squat Side-to-Side Obliques,,Strength Training,Abdominals,Body Only,Intermediate,,
562,Holman Side Plank Crunch,,Strength Training,Abdominals,Body Only,Intermediate,,
563,Total Fitness Ab Tuck,"Kolannik z pustego ciała to ćwiczenie brzucha masy ciała wykonywane na podłodze.Jest podobny zarówno do uchwytu nagłośnie, jak i kruchy kolan lub odwrotnego kryzysu, łącząc elementy obu.Przede wszystkim atakuje mięśnie brzuchy odbytnicy lub mięśnie „sześciopak”.Można go wykonywać dla powtórzeń lub czasu, albo jako część treningu skoncentrowanego na A lub jako element treningu obwodu.",Strength Training,Abdominals,Body Only,Intermediate,,
564,Active hang from bar,"Aktywne zawieszenie z baru jest ćwiczeniem statycznym, które obejmuje izometrycznie wciskając ramiona do gniazd i aktywowanie mięśni górnego tyłu i rdzenia.Można go użyć do poprawy form podciągania lub do wykonania większej liczby podciągnięć, ale ma także korzyści zdrowotne postawy i barku.",Strength Training,Abdominals,Body Only,Intermediate,,
565,Cat-cow,"Cat-Cow to tradycyjna pozycja jogi, która jest również popularna w treningu fitness i siłowym.Skieruje się do ruchliwości kręgosłupa i kontroli kolumny kręgowej.Można go wykonywać dla czasu lub powtórzeń w ramach dynamicznego rozgrzewki lub jako mobilność lub ćwiczenie naprawcze w dowolnym momencie.Może również działać w ramach sekwencji jogi lub masy ciała z innymi pozami.",Strength Training,Abdominals,Body Only,Intermediate,,
566,Crab walk,"Krab Walk to ćwiczenie całego ciała, które od dziesięcioleci jest popularne w szkołach i na siłowni.Jest to wyzwanie dla koordynacji całego ciała, które również spala poważne kalorie, co czyni go doskonałym włączeniem do rozgrzewki na całe ciało lub w obwodzie masy ciała.",Strength Training,Abdominals,Body Only,Intermediate,,
567,Lunge with overhead reach,"Lunge z zasięgiem napowietrznym jest ruch na całe ciało w masie ciała ukierunkowane na quady i ramiona.Ma zarówno korzyści siły, jak i mobilności i można go wykonać jedną nogę na raz lub na przemian na czas lub dla powtórzeń.",Strength Training,Abdominals,Body Only,Intermediate,,
568,Hang from bar,"Władziej z baru to ćwiczenie statyczne, które obejmuje zwisanie z baru dwoma rękami.Może to być albo „aktywne zawieszenie”, w którym pakujesz ramiona i aktywujesz mięśnie górnej części pleców, albo „pasywne zawieszenie”, w którym pozwalasz ramionom rozpakować się i pozwalasz rozciągnąć mięśnie górnego ciała.Wiszka pasywna może nie być odpowiednia dla wszystkich ludzi w zależności od zdrowia barku, ale wielu trenerów uważa, że ​​wiszące może być zdrowe dla ramion, gdy zostanie wykonane prawidłowo.",Strength Training,Abdominals,Body Only,Intermediate,,
569,Total Fitness Hollow Hold,"Holl-Body Hold to ćwiczenie izometryczne, które zwiększa siłę i stabilność w mięśniach rdzenia.Jest to powszechne w treningu gimnastycznym, treningu CrossFit oraz jako podstawowe napięcie i usztywnienie ćwiczeń dla podnośników i sportowców wszystkich typów.Jest wykonywany przez czas i może być wykonywany jako wiertło aktywacyjne przed podnoszeniem, jako część obwodu lub jako szkolenie podstawowe bez sprzętu w dowolnym momencie.",Strength Training,Abdominals,Body Only,Intermediate,,
570,Total Fitness Side Plank,"Boczna deska jest popularnym izometrycznym ćwiczeniem brzucha, koncentrującym się na ukośnych mięśniach, a także na mięśniach brzucha transpersusowych lub głębokich mięśniach rdzenia.Czasami jest łączony z lokami i psa ptakiem jako „McGill Big Three” dla siły i stabilności rdzenia.Jest wykonywany przez czas i może działać w rozgrzewce lub w rdzeniowej części każdego treningu.",Strength Training,Abdominals,Body Only,Intermediate,,
571,Side plank pulse,"Puls deski bocznej jest dynamiczną wersją Ćwiczenia bocznego deski koncentrującego się na skośnych mięśniach, a także na mięśniach transmorsusowych lub mięśniach głębokich rdzenia.Może być wykonywany dla czasu lub powtórzeń i może pracować w rozgrzewce lub w rdzeniowej części każdego treningu.",Strength Training,Abdominals,Body Only,Intermediate,,
572,Total Fitness Spider Crawl (Unweighted),"Fajnik pająka to ćwiczenie masy ciała, które obejmuje czołganie się na podłodze z kolanami poza łokciami.Różni się od pełzania lamparta, ponieważ biodra są wyższe i różni się od pełzającego niedźwiedzie, ponieważ kolana są szersze.Można to zrobić jako rozgrzewkę całego ciała, w krótkich seriach treningu mocy lub obwodu lub dłuższego czasu trwania jako kondycjonowanie sercowo-naczyniowe.",Strength Training,Abdominals,Body Only,Intermediate,,
573,Total Fitness V-Up,"V-UP jest ruchem masy ciała, który atakuje mięśnie brzucha, odbytnicy brzusznej, a zwłaszcza mięśni „sześciopakowych”.Jest podobny do kryzysu walizki, ale dolna część tylna unosi się z ziemi u góry każdego powtórzenia.Można go wykonywać dla czasu lub powtórzeń w skoncentrowanej przez A części każdego treningu.",Strength Training,Abdominals,Body Only,Intermediate,,
574,MetaBurn Alternating Knee-to-Elbow Mountain Climber,,Strength Training,Abdominals,Body Only,Intermediate,,
575,Alternating sit-through with crunch-,"Naprzemiennie usikanie z chrupnięciem to ruch całego ciała, który zaczyna się w pozycji pełzającej niedźwiedzie, a kończy się nogą wyrzuconą na bok.Pomiędzy przedstawicielami wykonujesz chrupnięcie.Jest to powszechnie wykonywane dla powtórzeń lub czasu w obwodach masy ciała i przepływach w stylu zwierząt, ale może również działać samodzielnie lub jako część dynamicznej sekwencji rozgrzewki lub mobilności.",Strength Training,Abdominals,Body Only,Intermediate,,
576,MetaBurn Alternating Toe-Touch,,Strength Training,Abdominals,Body Only,Intermediate,,
577,MetaBurn Janda Sit-Up,,Strength Training,Abdominals,Body Only,Intermediate,,
578,MetaBurn Oblique Roll Crunch,,Strength Training,Abdominals,Body Only,Intermediate,,
579,MetaBurn Plank Jack,,Strength Training,Abdominals,Body Only,Intermediate,,
580,MetaBurn Plank To Alternating Side Plank,,Strength Training,Abdominals,Body Only,Intermediate,,
581,MetaBurn Plank Up-Down,,Strength Training,Abdominals,Body Only,Intermediate,,
