Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
57,Male,51.7,1.84,170.15893225055842,169.5628487752548,51.38735226350352,1.13,950.0,HIIT,28.2,2.9,3,1,16.29
54,Female,48.3,1.77,177.54917516723313,146.8514940250309,59.76713874985974,1.35,867.0,Strength,34.6,2.4,2,1,17.25
20,Female,66.8,1.55,179.1224856019996,133.17867022415916,47.79005760144749,1.01,623.0,Yoga,27.8,2.2,4,2,28.09
35,Female,52.8,1.65,186.36762839705796,158.14839725504947,58.37585961339781,0.99,809.0,Cardio,30.2,1.9,4,2,19.65
35,Male,73.9,1.92,176.55806457649868,142.3108601373518,71.71218012462684,1.23,916.0,Strength,29.1,2.3,4,2,19.94
27,Male,67.1,1.98,175.675838776195,160.47212771314264,55.103454886456845,1.13,1020.0,HIIT,24.8,2.9,3,1,18.96
51,Male,107.0,1.74,176.4429132190777,163.4006509092323,67.19661702511036,0.56,432.0,Strength,30.0,3.2,3,1,34.78
36,Male,75.0,1.72,173.2256702961809,127.8739892274211,55.22301690733007,1.4,999.0,HIIT,27.9,2.1,4,2,25.03
24,Female,41.3,1.54,165.60180615619495,127.37018012881937,66.13568813420602,0.54,367.0,HIIT,27.5,1.8,3,1,16.45
30,Male,65.6,1.86,188.88901484021926,137.70661605921316,64.65379858535042,0.67,484.0,Yoga,26.5,2.1,2,1,18.91
29,Male,125.5,1.85,192.40436309255972,164.6708848353972,65.64782390006276,0.81,736.0,Yoga,28.8,3.3,2,1,37.01
22,Female,60.8,1.8,165.01390393770185,125.44440941098664,60.637437837588365,1.04,646.0,Yoga,33.1,1.7,3,2,19.56
39,Male,46.4,1.81,186.97087970585045,154.13570392904217,65.13195220090718,0.63,546.0,Strength,29.4,2.9,3,1,14.77
32,Female,63.1,1.61,176.49492432559714,121.59119181540495,53.300396750822344,1.52,943.0,Cardio,18.5,2.8,4,3,23.66
56,Female,63.4,1.79,179.74560134987857,148.4855673971884,75.89418530494254,1.59,1041.0,HIIT,17.6,2.8,4,3,19.6
51,Female,78.8,1.46,198.91977431304466,144.828193462879,52.366868840896984,0.79,502.0,Strength,32.4,2.5,3,1,33.51
50,Male,96.6,1.89,185.68059420078026,136.28918800067794,49.79286467459067,0.89,624.0,HIIT,27.3,3.5,3,1,24.98
42,Male,50.9,1.69,171.32754923429147,152.92339385045545,60.867419939539744,0.63,472.0,Strength,26.6,2.5,3,1,17.85
31,Male,101.9,1.74,192.16207789334885,144.16642094884705,75.28427180229532,0.54,463.0,Cardio,26.5,3.0,3,1,36.13
26,Female,53.2,1.71,173.0543995874739,152.43301872472668,68.80474600857153,1.51,1155.0,Yoga,16.0,2.6,4,3,17.97
46,Male,78.5,1.7,189.6181156397091,136.0079571853491,55.611299602022946,1.66,1082.0,Yoga,11.6,3.4,4,3,26.51
20,Female,56.6,1.5,161.31889259777546,164.82982352273686,54.49679039461902,1.38,1150.0,Strength,30.9,1.6,4,2,23.58
57,Male,54.7,2.0,177.4600585860448,137.47571055497122,62.147528816914324,0.71,445.0,Strength,30.5,3.2,3,1,15.2
23,Male,104.0,1.83,167.07589067649275,157.91418571377238,64.48514448764999,1.29,1042.0,Strength,21.0,2.6,3,2,30.02
51,Female,49.8,1.51,180.1710828495998,157.6638376580379,60.45794694264712,1.26,889.0,HIIT,30.7,2.2,3,2,20.14
37,Female,59.4,1.73,182.5352781303772,120.20560329552364,57.327126195336085,0.82,511.0,Cardio,33.9,2.1,2,1,18.53
24,Male,109.2,1.65,173.46300520705063,166.4887871452478,61.402532419356994,1.4,1260.0,Cardio,21.3,2.7,4,2,46.14
26,Female,73.9,1.56,192.6932124008358,114.0109567021357,52.307567713484644,0.56,332.0,Yoga,34.6,1.7,2,1,32.12
25,Male,92.9,1.86,183.28003211740932,162.7916836038527,73.69791705776325,1.46,1355.0,Cardio,24.1,2.5,4,2,27.57
18,Female,67.0,1.63,166.99345981489813,116.332900039552,54.3287647991545,1.4,926.0,Cardio,25.1,1.9,3,2,26.98
39,Female,60.3,1.51,156.88235692520118,160.17616765077565,54.73647983960542,1.76,1327.0,HIIT,15.6,2.7,5,3,24.18
35,Female,59.1,1.84,183.49013458014292,151.580073129573,64.63736700412869,1.66,1196.0,Strength,19.6,2.8,4,3,19.11
40,Female,42.9,1.67,184.88749045857588,135.54971022338736,51.53426843730902,1.17,747.0,Strength,26.3,2.1,2,1,13.89
33,Female,40.2,1.59,167.40037530933444,163.09700990816862,71.76051551364708,1.06,857.0,Cardio,25.8,1.9,3,2,16.17
33,Female,73.9,1.6,176.65771615544782,165.51706348138117,50.16935913572057,1.49,1163.0,Cardio,32.6,2.3,3,1,28.68
21,Female,71.6,1.85,199.24673034957206,157.65859182882764,57.733324364069894,1.51,1136.0,Yoga,29.8,1.8,3,1,22.37
37,Male,45.9,1.7,202.24589286907363,173.19087917270164,63.693343961713666,1.03,967.0,Strength,19.9,2.5,4,2,15.58
43,Male,94.0,1.99,174.27619293695855,140.07529143047293,67.0747477458535,1.17,787.0,HIIT,28.8,3.8,3,1,23.44
39,Male,118.8,1.83,164.43809282872755,152.32331485422083,51.07955971724871,1.54,1309.0,HIIT,28.0,2.8,2,1,39.67
22,Male,103.8,1.85,167.95175088078273,125.97328615205046,68.04191038454415,0.97,702.0,Yoga,28.1,3.0,3,1,27.65
39,Female,64.9,1.48,185.0440458682144,142.0415741478317,66.0046177897125,1.26,895.0,Strength,33.7,2.4,2,1,27.35
33,Male,110.8,1.76,167.65654737077824,144.4710989749397,55.59752579065218,1.31,996.0,HIIT,27.1,3.7,3,1,34.2
26,Female,72.7,1.63,168.00671334383668,164.33421560816964,61.18145772461915,1.5,1094.0,Yoga,26.8,1.7,3,2,26.4
54,Female,57.5,1.48,178.19581805008013,143.74919528374414,54.09854555533533,1.13,710.0,Strength,27.9,1.7,4,2,22.1
42,Male,90.3,1.68,180.15283799029388,132.81019420311037,52.09877788859091,1.09,747.0,Cardio,23.4,3.1,4,2,35.88
20,Male,83.3,1.96,184.4577284250309,139.07079658790965,56.81235738617369,1.62,1339.0,HIIT,14.4,3.4,5,3,21.05
39,Male,83.0,1.69,190.84613593765698,146.9572122645396,58.23479987677311,1.58,1200.0,HIIT,9.7,3.4,5,3,28.73
55,Male,117.3,1.59,189.8880722099905,158.99769531178796,60.3441948794685,1.2,1001.0,Cardio,22.6,2.8,3,2,43.38
25,Male,91.1,1.98,189.13792727297187,135.10123952067556,66.06287828030938,1.37,1009.0,Cardio,23.4,3.0,2,1,24.03
27,Female,52.9,1.63,167.5824375598421,137.20851654990102,64.39012770986248,1.28,851.0,Cardio,35.8,1.8,4,2,21.17
56,Female,48.5,1.49,182.3047316040485,171.62732043387294,55.26016202772814,1.38,1030.0,Strength,30.2,2.1,2,1,21.16
18,Female,63.8,1.82,185.24928027707844,122.44114966749126,65.68945369080059,1.13,705.0,Cardio,32.5,2.0,2,1,18.81
49,Male,69.0,1.73,162.58401429377545,171.98809812875967,57.330244492867315,1.49,1256.0,HIIT,29.8,2.3,3,2,23.06
29,Female,56.2,1.47,196.569806930272,130.74670329185562,58.42711586377178,2.0,1195.0,Strength,16.3,2.7,5,3,23.73
28,Female,73.8,1.52,180.95951095503065,120.18487299509827,67.91798636917814,1.24,694.0,Cardio,26.4,2.5,4,2,28.58
23,Male,89.1,1.65,167.37233329199998,156.12577937245757,66.60157491537166,1.82,1614.0,Strength,10.6,3.4,5,3,33.29
54,Female,79.1,1.67,203.0788423624342,157.71631042393432,58.946471478056196,0.97,660.0,Cardio,25.4,1.9,3,1,24.86
57,Male,86.1,1.76,162.88010600431568,147.49709730152884,61.69918179607038,1.51,1086.0,Cardio,10.8,3.6,4,3,26.32
28,Female,66.4,1.45,204.5180174981101,119.69541731840927,59.065597801257304,1.16,722.0,Strength,26.2,2.0,4,2,28.37
42,Female,73.3,1.86,172.08314442773388,134.26344929871854,54.280039791786926,1.44,801.0,Yoga,35.2,2.1,4,2,23.03
37,Female,55.1,1.63,175.13693500758225,148.5315735425735,69.96420003052863,0.88,661.0,Yoga,33.1,2.1,2,1,22.64
52,Male,81.5,1.96,176.56893805700588,149.4280788356613,72.83613142673845,0.82,570.0,Yoga,22.4,3.9,2,1,21.23
57,Female,58.0,1.69,181.45581938463525,151.09535648338638,53.98173419417917,1.07,692.0,Yoga,33.9,2.5,3,2,19.65
42,Female,48.8,1.77,185.85259487197663,142.043990992705,59.966979471468775,0.63,385.0,Yoga,29.4,2.6,2,1,14.81
33,Male,86.8,1.92,176.09743128651826,143.45695832892247,64.04666866402923,1.58,1143.0,Cardio,11.4,3.5,5,3,25.05
59,Male,120.6,1.85,177.311710742369,147.29951373956993,52.46516304253042,0.65,476.0,Yoga,20.7,3.0,3,1,35.18
47,Female,45.0,1.64,190.8504258108781,128.5571134259995,74.79554906688159,1.17,724.0,HIIT,26.1,1.8,4,2,16.87
45,Male,83.9,1.82,186.51727437384525,134.24470860723235,62.117317246520614,1.43,905.0,Strength,23.9,3.5,4,2,23.48
52,Female,71.2,1.54,177.21763838111295,141.94922233920445,63.4845356814778,0.73,479.0,HIIT,26.6,2.2,2,1,30.21
38,Female,41.2,1.74,188.58844902273853,153.77428198681469,56.51649712508489,0.61,523.0,Cardio,27.5,2.8,2,1,12.61
22,Male,47.0,1.8,169.85241012544526,133.28505368881412,76.01579770643865,1.0,765.0,HIIT,21.2,2.4,3,1,14.6
30,Female,62.3,1.84,170.00054770996732,151.9992012110264,63.033608306710235,0.6,459.0,Cardio,26.2,2.7,2,1,18.64
39,Male,63.3,1.85,201.2698863702385,173.75769738748966,68.87116923923993,1.34,1221.0,Strength,25.9,2.2,3,1,19.14
37,Female,52.5,1.77,183.95957804275446,152.9129023728328,49.29592321697714,1.16,912.0,Yoga,28.9,1.7,4,2,18.04
31,Female,62.1,1.83,180.65245776644306,122.51780583194545,53.30043216512562,1.72,1044.0,HIIT,14.8,2.7,4,3,19.96
47,Male,86.8,1.59,185.119820535734,128.2246560697093,58.468896278231874,1.86,1106.0,HIIT,14.6,3.6,5,3,33.07
57,Male,60.8,1.94,191.79684776601587,166.7095181392359,62.75946423966081,1.1,896.0,Cardio,21.5,3.2,3,2,16.87
43,Male,45.3,1.77,172.6446783455852,142.71904259067767,66.87177948907944,1.22,920.0,Yoga,24.7,2.3,3,1,14.92
48,Female,60.7,1.6,185.45647272580112,120.16393056593685,71.27209045341527,2.01,1076.0,Strength,19.6,2.8,4,3,25.49
19,Male,84.5,1.92,188.38494230350204,153.81826999251777,67.92687458688948,1.81,1375.0,HIIT,12.9,3.7,5,3,24.16
42,Male,89.9,1.94,185.71233731388006,152.53428121763903,62.15549203925823,1.32,1165.0,Cardio,21.2,1.9,3,1,25.42
38,Male,87.3,1.82,160.6490352676852,145.2159798542053,52.21235416289254,1.65,1315.0,Cardio,11.7,3.5,5,3,26.33
40,Male,93.1,1.7,196.77692970764525,158.54775826647366,50.882824471973365,1.1,965.0,Strength,22.1,2.6,4,2,33.19
34,Female,55.2,1.57,171.55670076947987,129.46667869189,49.10352816179463,1.87,1134.0,Strength,18.5,2.6,5,3,24.19
41,Female,61.2,1.58,168.96374150547226,155.19310943216476,55.00449627399324,1.89,1320.0,HIIT,15.8,2.7,5,3,24.56
19,Female,46.0,1.58,181.4395432755937,131.51611263807192,61.60315438277947,1.29,858.0,HIIT,34.9,1.7,4,2,17.71
35,Male,82.2,2.02,172.78552227314296,121.36058054654701,52.4242335978521,1.8,1185.0,HIIT,11.3,3.4,5,3,21.93
50,Male,64.2,1.65,185.49342675675842,123.9285544260201,67.54766441527899,1.3,828.0,HIIT,26.0,2.0,4,2,26.18
24,Female,61.5,1.85,161.61316063562708,158.99527916208433,61.043158583642295,2.03,1647.0,Cardio,15.6,2.6,4,3,18.5
47,Male,79.6,1.8,176.55500295967738,137.17442931850084,56.51126133676598,1.71,1123.0,Yoga,11.4,3.7,4,3,27.28
29,Female,58.5,1.54,190.42187524536484,128.40319127333882,54.900351508368885,1.85,1191.0,Strength,16.1,2.7,5,3,24.78
49,Female,46.7,1.72,162.71744830541067,161.82681790167825,75.19813821730234,1.21,845.0,Strength,31.7,2.1,3,2,15.02
48,Female,57.5,1.73,168.56833010846807,135.59504945822644,71.87354289308568,1.62,1019.0,Cardio,16.5,2.7,4,3,23.16
19,Female,46.8,1.7,172.6081666994502,139.72413794255914,65.06384177586935,1.05,773.0,Yoga,30.4,2.3,3,1,17.05
27,Male,132.4,1.67,170.43364730459706,166.23055346516864,59.7542067690272,1.37,1129.0,Strength,26.5,2.9,3,1,43.77
58,Female,62.9,1.58,155.15834946865414,168.35034411902924,59.87716290291422,1.46,977.0,Yoga,30.1,2.2,3,2,28.37
57,Female,64.9,1.69,160.85269435074483,124.86024239494103,51.502355165322754,1.12,615.0,HIIT,24.6,2.0,3,2,23.99
33,Male,120.1,1.66,158.12998280269048,134.21789497058646,54.443377902501936,1.09,770.0,HIIT,24.8,2.5,3,2,43.42
30,Female,71.3,1.71,175.90947512709397,162.32235720324826,60.04316368111517,1.05,895.0,Cardio,30.2,1.6,4,2,22.78
51,Male,90.5,1.72,165.51631652311818,120.53555586999707,70.67804749154215,0.82,522.0,Cardio,23.6,2.8,2,1,31.57
25,Male,53.5,1.69,181.33883896882884,139.33090663011492,70.80033180864606,1.0,724.0,Strength,21.5,2.9,3,1,18.0
53,Female,45.5,1.49,202.70966064107083,138.76825437405427,63.04154626873555,1.39,921.0,Cardio,28.9,1.8,3,2,21.02
48,Male,48.9,1.61,155.43779974676985,149.0343716998107,58.508034050264236,1.3,1023.0,Cardio,23.2,3.0,2,1,17.96
20,Male,90.6,1.9,171.14460163672564,125.63302639215192,71.93384333513707,1.13,829.0,HIIT,24.6,2.1,3,2,24.51
47,Male,84.9,1.77,203.32281522512469,160.96211537720362,68.59640864253736,1.54,1260.0,HIIT,12.9,3.6,4,3,26.9
38,Male,70.7,1.95,177.68958696129567,157.43509929322695,74.3880484331941,1.27,1028.0,Cardio,29.2,3.1,4,2,19.11
21,Female,49.9,1.84,164.2107804596943,164.64514750535798,64.49201681921795,1.32,1118.0,HIIT,29.4,2.2,4,2,15.09
41,Male,62.9,1.58,165.0004055077363,172.1980152145021,64.41570960822558,1.15,945.0,Cardio,24.6,2.9,3,2,23.55
42,Female,56.9,1.69,190.28080798722553,138.98605675037228,49.84879955032229,1.78,1147.0,Yoga,16.0,2.6,5,3,18.84
36,Female,54.5,1.53,179.19829032903067,140.5400360248652,56.522345013208984,1.7,1235.0,Strength,19.7,2.8,5,3,23.51
36,Female,69.7,1.68,159.70152505953658,125.32787553545029,75.80862704666818,1.09,654.0,HIIT,28.8,1.8,3,2,25.99
38,Female,63.8,1.62,180.5246453523276,147.73854138273023,58.740558467357104,1.19,955.0,HIIT,27.6,1.9,4,2,21.75
48,Male,81.3,1.68,181.68317469328872,132.57606607508868,60.408622927345604,1.85,1127.0,Yoga,14.2,3.5,4,3,25.78
23,Male,44.3,1.85,171.09519424755968,145.1922891394362,70.26556600799098,0.99,758.0,HIIT,20.6,2.4,3,1,14.54
56,Male,110.3,1.92,197.31964308598938,155.77454977881916,55.26979535835853,1.53,1142.0,Yoga,26.5,2.3,3,2,29.54
43,Female,72.5,1.75,165.69729517318362,149.80354706345176,62.853456932628966,1.3,905.0,Strength,35.1,1.6,3,1,24.57
52,Female,46.1,1.8,162.8037912382038,150.3696055650203,75.58618102895166,1.03,681.0,HIIT,29.1,1.5,4,2,15.52
31,Male,84.9,1.97,152.7675976137192,151.0997139308868,68.79380726694023,1.63,1435.0,Yoga,10.4,3.6,5,3,22.27
59,Male,57.1,1.73,180.0650140900349,158.6294191531705,57.212925964301185,1.17,986.0,HIIT,25.7,3.0,2,1,21.09
22,Female,63.1,1.51,190.99436892593073,150.38121037309253,62.80868370434378,1.91,1425.0,HIIT,16.6,2.7,4,3,24.86
42,Male,110.9,1.69,162.17053377480477,119.95506597491116,50.51022366019821,1.05,641.0,Yoga,21.4,3.5,3,1,36.0
50,Female,66.7,1.59,193.51059817505302,129.92863407704763,74.2212691463666,1.22,722.0,HIIT,30.9,1.5,2,1,26.25
27,Male,58.2,2.01,194.0694052292348,131.51393340787638,66.64939264949251,1.26,984.0,Strength,28.5,2.9,4,2,14.04
56,Female,55.7,1.73,163.6093412141297,149.5413238328212,70.92744826367179,1.57,1083.0,HIIT,15.4,2.7,5,3,19.7
27,Female,53.9,1.72,177.72834297184346,121.30793056683272,58.492655791763,1.04,646.0,Cardio,35.4,1.9,4,2,20.37
49,Male,79.0,1.71,190.4832084125854,165.02236400815093,65.30542537943924,1.53,1230.0,Cardio,12.8,3.6,4,3,25.46
48,Female,60.6,1.7,171.74022272487926,136.78959399260862,54.59122314088799,1.56,938.0,HIIT,17.1,2.7,4,3,18.66
49,Female,60.1,1.53,201.43049254516407,121.02370368838507,70.97618116919168,2.04,1126.0,Strength,19.9,2.7,4,3,25.63
51,Male,83.2,1.71,203.52788222101987,161.9744828636043,76.59239048410727,1.85,1488.0,HIIT,11.3,3.5,4,3,29.68
27,Male,106.7,1.74,180.4219557802819,123.3847203929583,71.58969659890067,1.39,928.0,Cardio,29.5,2.4,4,2,32.54
22,Female,64.4,1.51,188.35418461572596,149.25409367039862,54.98478584772271,1.04,752.0,Cardio,29.4,2.5,4,2,27.65
52,Male,52.7,1.67,155.1163416763436,156.35805174795686,60.976587487790525,1.36,987.0,Cardio,22.8,2.9,2,1,18.45
34,Male,108.2,2.07,171.39423291281543,129.2405969972188,59.715334859856426,1.41,924.0,Strength,27.1,3.5,2,1,28.34
49,Female,72.2,1.72,178.9620134909516,167.3808180720786,67.95844558905827,1.12,841.0,Yoga,31.5,2.5,2,1,23.91
25,Female,58.6,1.56,180.04724053459935,153.33192128434885,68.76051166465251,1.06,815.0,Cardio,33.1,2.5,2,1,26.59
34,Female,76.9,1.62,174.51252594748578,140.70515380148203,56.15407350571349,1.27,856.0,HIIT,33.3,1.8,3,2,27.08
26,Female,62.4,1.77,163.35114889438665,139.03381956101828,59.87979389681143,0.85,607.0,Cardio,28.0,2.6,3,1,20.57
32,Male,69.3,1.97,166.3453331741728,158.2999817222914,53.78629136395271,1.42,1348.0,Strength,28.7,3.4,2,1,18.67
47,Female,63.9,1.71,198.63079871009543,127.62885673525575,66.42807872503252,0.77,432.0,HIIT,35.6,2.7,3,1,23.3
42,Male,74.9,1.74,176.70658456740546,133.88393436896413,61.906112931946375,1.0,644.0,Cardio,26.5,3.0,4,2,27.94
21,Male,80.0,1.96,187.78283788186997,141.32030581699712,57.61483673772786,1.74,1387.0,HIIT,14.8,3.6,5,3,20.37
28,Male,81.3,1.62,167.14801440319906,145.56688481115626,51.32645875700306,1.04,893.0,Yoga,20.8,3.6,4,2,30.05
18,Male,92.6,1.79,200.6949649465632,167.0042533451649,48.12744468341903,1.39,1344.0,Yoga,21.1,3.1,2,1,30.17
52,Male,68.2,1.89,167.9732733446428,140.9476906322451,68.67080577700649,1.1,843.0,Yoga,26.0,2.2,3,2,20.33
24,Female,63.3,1.78,183.160328479945,174.05647276645564,61.921390956628855,1.16,937.0,HIIT,26.3,1.8,3,1,21.98
24,Female,41.0,1.62,184.59522869953457,149.551561622194,67.00705791073996,1.43,1027.0,Yoga,30.0,2.1,4,2,15.43
41,Female,59.2,1.67,158.02744887893294,173.09130073208726,60.58579694355488,0.87,799.0,HIIT,26.4,1.7,3,1,23.11
37,Female,49.8,1.54,186.46144119250255,145.9561233219524,67.11422555792822,1.21,916.0,HIIT,31.0,2.6,3,1,22.34
44,Female,60.0,1.52,161.7381575598145,149.9570585352677,51.126393309154025,1.87,1219.0,HIIT,17.5,2.6,5,3,25.19
32,Male,107.5,1.92,164.6201584423255,122.78391803113733,59.57320127944486,1.3,857.0,Strength,27.8,2.7,3,2,26.87
21,Male,96.8,1.91,194.89503894227752,137.77767525988045,70.67526194247925,0.52,375.0,Cardio,21.5,2.1,2,1,28.76
48,Female,40.6,1.65,187.75770124571912,154.23871743460097,73.47960226748216,1.0,666.0,Yoga,33.9,2.5,3,2,14.5
20,Female,63.6,1.6,188.1440864495558,155.58170633407553,62.281014110863424,1.92,1522.0,HIIT,16.5,2.6,4,3,24.12
34,Male,68.4,1.64,162.52429265432627,133.21620477786587,55.13046849649523,0.68,494.0,Cardio,25.2,3.4,2,1,22.94
52,Male,91.3,1.72,175.98860055695042,133.47156758957712,76.23515930314458,1.74,1249.0,Cardio,12.5,3.6,5,3,31.56
19,Male,83.8,1.94,175.51098391960562,157.48673403542375,66.16806202089276,1.85,1513.0,HIIT,13.9,3.6,4,3,20.76
27,Female,69.7,1.54,184.34877499199067,141.50567588790733,50.032168745280536,1.56,1021.0,Cardio,28.6,1.9,3,2,26.98
36,Female,48.6,1.65,198.0440516597519,153.73020488800688,60.341314408452,1.0,811.0,Cardio,29.6,1.8,4,2,19.49
50,Male,67.6,1.7,196.88833267725542,142.4776894018867,73.3383636362707,1.42,973.0,Strength,25.8,2.9,4,2,21.9
26,Male,72.9,1.81,170.9252501309635,157.21356537470368,72.97963462954547,1.16,1017.0,Strength,21.4,2.7,3,2,22.65
48,Male,88.9,1.67,173.02286476761586,128.32684064915452,70.89017088600633,0.79,493.0,Cardio,22.2,2.8,2,1,32.2
20,Male,121.4,1.72,190.6783646854352,157.45968173363994,62.39104610052349,1.42,1198.0,HIIT,30.9,3.4,3,2,47.67
18,Male,111.9,2.02,186.91783236032643,130.9819949241617,61.31659981711274,1.07,751.0,Cardio,23.8,2.5,3,1,30.32
36,Male,60.4,2.05,180.4837544140045,144.70499554482916,49.65857355107213,1.34,1047.0,Cardio,23.5,2.8,3,1,16.22
57,Male,53.1,1.81,155.82228340729674,139.18343527017385,54.24089223821742,1.29,862.0,Cardio,26.2,3.4,4,2,17.25
31,Female,70.3,1.57,168.7648872050598,125.1355310443301,57.48165435062941,1.19,749.0,Strength,28.8,1.8,2,1,26.92
22,Male,44.3,1.69,157.19128344348024,144.82371919949898,74.91510560894339,1.06,817.0,HIIT,20.4,2.4,3,1,14.08
43,Female,64.0,1.69,179.3651393364918,151.45563796974858,66.56722607745958,1.48,1044.0,Cardio,32.5,2.3,3,1,19.95
53,Female,60.2,1.75,193.8830815387831,121.54339253893532,70.06335672511037,1.34,710.0,Strength,33.9,2.5,3,1,21.6
41,Male,113.1,1.9,163.25763164230125,134.7827208310672,65.99784542135629,1.47,937.0,Yoga,30.8,2.8,4,2,34.14
37,Male,69.5,1.7,174.70850695185112,177.13319935274725,73.38863419093417,1.42,1434.0,Cardio,21.8,2.2,3,2,22.97
60,Male,71.4,1.68,198.5688532313524,142.71294561775252,56.49583623683401,1.05,770.0,HIIT,23.7,2.9,2,1,24.98
32,Female,58.4,1.59,186.21609529569932,123.31707071965437,51.8588019705046,1.87,1204.0,Strength,18.2,2.7,5,3,25.89
33,Female,59.8,1.6,174.04148622543988,133.0937623795287,51.87537525129452,1.83,1249.0,HIIT,15.8,2.6,5,3,25.9
32,Female,62.2,1.66,167.04166368866382,148.7238889322769,63.402082272082296,1.81,1229.0,Yoga,20.6,2.6,5,3,23.72
46,Female,64.5,1.51,188.99495687424636,119.6782240873511,70.60978308204793,2.01,1157.0,Strength,19.6,2.7,4,3,24.29
42,Male,89.6,2.03,198.01016918946684,163.87792426145114,50.84340464013452,1.68,1363.0,Yoga,11.1,3.4,5,3,22.58
46,Female,59.7,1.74,160.48362558252185,161.4432125789976,54.916511944363585,0.95,670.0,Yoga,27.4,1.9,3,1,20.61
36,Female,49.2,1.66,191.1971018041636,151.22319898460316,57.275099144633145,1.04,834.0,Cardio,29.3,1.9,4,2,18.78
33,Female,65.6,1.64,173.02769198902536,144.0257769215968,60.23722235949093,1.81,1307.0,Yoga,19.9,2.8,5,3,24.22
36,Male,75.4,1.71,180.29138276369488,130.60351539112463,54.631998383394844,1.37,973.0,HIIT,27.0,2.0,4,2,25.41
55,Female,62.0,1.49,164.20157464390743,124.87802341385617,60.31248876207572,1.82,982.0,Yoga,16.7,2.8,4,3,28.28
48,Male,82.6,1.93,167.96423431861874,156.2679084468168,66.11792435196845,1.84,1524.0,Strength,13.9,3.6,4,3,24.52
43,Female,44.8,1.58,168.69398695729564,138.55464083360215,53.016575791708114,0.76,450.0,Yoga,32.5,1.9,2,1,15.9
32,Male,129.3,1.79,192.20709935466118,152.034400621576,63.14885735641826,1.11,887.0,HIIT,28.1,2.1,3,2,36.14
57,Female,60.4,1.75,193.16398857977305,124.1933328777612,65.27669472671205,1.39,718.0,Strength,35.4,2.6,3,1,20.98
33,Female,77.8,1.68,164.87159248003752,163.71651672766686,70.89495333220796,1.32,970.0,HIIT,32.4,2.0,4,2,28.71
34,Male,85.1,2.0,173.45769838628834,118.83980805329269,49.08950308020049,1.89,1226.0,HIIT,11.7,3.5,5,3,21.36
22,Male,112.1,1.81,175.3462902779322,122.08168226533024,69.92478819763467,0.97,688.0,Strength,26.2,3.5,4,2,35.07
54,Female,61.1,1.64,167.56760963167352,155.27730008212154,56.13791329696047,1.18,868.0,Strength,34.4,1.9,3,1,19.95
35,Female,68.4,1.48,184.52046263525216,132.62617883993337,59.50426639115561,1.33,903.0,Cardio,32.9,2.2,4,2,29.63
43,Male,70.9,1.9,195.0759879317987,163.8129090712723,61.97879644448854,1.41,1124.0,HIIT,23.5,3.2,3,2,20.67
41,Male,95.2,1.63,176.14302808841663,137.84170454006335,51.98817285256613,1.13,807.0,Cardio,23.1,3.1,4,2,34.28
29,Male,83.0,1.7,174.12189997130926,149.66850370394798,52.451545389084465,1.07,950.0,Yoga,19.6,3.4,4,2,30.9
27,Male,73.5,1.8,158.77715736328315,126.24522967167793,62.73816602684231,0.69,473.0,Cardio,26.2,2.4,3,1,25.54
45,Male,90.6,1.82,184.64660874039276,150.66163310925995,70.41826845581414,1.68,1261.0,Yoga,12.5,3.4,5,3,26.68
55,Female,77.0,1.75,166.77380324720826,141.2437618603144,63.12996982749617,1.02,632.0,Cardio,25.9,2.5,4,2,22.86
55,Female,69.9,1.46,171.7422344994442,144.6044808129224,65.36006161117665,0.74,486.0,HIIT,26.8,2.0,2,1,30.85
44,Male,95.2,1.75,198.69956572868585,126.50425336532284,58.08751981262599,1.29,786.0,Cardio,25.7,3.6,4,2,30.19
33,Female,53.4,1.7,182.31842569442895,135.28056980155444,71.52522355658441,1.3,788.0,HIIT,30.1,2.6,3,1,19.08
25,Male,51.1,1.75,189.5011556195248,168.08372426842314,57.395730046752064,0.6,515.0,Strength,29.9,2.2,3,1,17.96
21,Male,100.0,1.59,180.92579075914742,164.9245143226992,60.90266930025932,1.39,1168.0,Cardio,28.4,2.3,4,2,36.25
28,Male,129.6,1.77,180.81649262741863,160.20801528543203,74.13940915342243,1.11,907.0,Strength,22.9,3.2,4,2,36.93
33,Female,59.4,1.48,176.66476543944938,128.9893911058296,48.97828395524779,1.88,1184.0,Strength,17.7,2.6,5,3,24.55
52,Female,46.4,1.62,170.56969748630388,158.53482985698633,54.921095446478354,1.17,812.0,Cardio,25.3,2.3,4,2,18.64
39,Male,84.2,1.96,164.3221237066882,142.4646459408318,59.029733070650444,0.77,570.0,Strength,28.2,3.4,2,1,24.07
38,Female,44.5,1.69,195.3761062839754,144.53528073572372,59.15327186310419,0.97,755.0,HIIT,30.6,2.5,3,2,15.56
23,Male,88.1,1.81,172.87922060554067,158.4846713809726,65.10356432308987,1.78,1465.0,HIIT,10.9,3.7,4,3,27.78
42,Female,63.3,1.77,180.92289920860858,171.69930007488443,59.77789005192166,1.42,1043.0,Yoga,25.2,1.8,3,2,21.4
53,Female,73.4,1.47,183.39808732048576,141.7570279159456,61.858859319862354,0.77,474.0,HIIT,26.2,2.2,2,1,31.31
